timestamp_sec,datetime,J1_pos,J2_pos,J3_pos,J4_pos,J5_pos,J6_pos,J1_torque,J2_torque,J3_torque,J4_torque,J5_torque,J6_torque,program_speed,Status
1779842712,45:12.5,-5.750276089,-48.85588837,0.666422844,3.149902105,-86.44284058,-88.41501617,0.027464982,0.027464982,0,-0.002746498,0,0.002746498,60,Run
1779842713,45:13.5,-5.750276089,-48.85588837,0.666422844,3.149902105,-86.44284058,-88.41501617,-0.005492996,-0.005492996,-0.005492996,-0.010985993,0.005492996,0,60,Run
1779842715,45:14.5,-5.753762245,-49.08086395,-1.176042557,3.445949793,-86.46677399,-88.33755493,-0.889865398,1.219445229,1.763251901,1.301840186,0.590497136,2.669596195,60,Run
1779842716,45:15.5,-5.753797531,-49.93022537,-3.397254944,3.45680666,-84.24946594,-88.47164154,-0.340565771,1.224938154,1.886844277,1.711068392,-1.10409224,1.282614708,60,Run
1779842717,45:16.6,-5.75386095,-50.87065506,-6.742691994,3.483177662,-80.90997314,-88.67572784,0,1.11507833,1.713814855,1.870365262,-1.09310627,1.301840186,60,Run
1779842718,45:17.6,-5.753917694,-51.3965416,-10.28862,3.524758577,-77.37047577,-88.89627075,0.1483109,1.038176298,1.881351233,1.881351233,-1.084866762,1.079373837,60,Run
1779842719,45:18.6,-5.753974915,-51.40164185,-14.09412384,3.585934639,-73.57209015,-89.13991547,0.192254871,2.878330231,1.829167843,1.908816218,-1.145289779,1.112331748,60,Run
1779842720,45:19.6,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.1592969,2.878330231,2.051634073,1.334798098,-0.812963486,1.211205721,60,Run
1779842721,45:20.7,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.131831914,2.735512257,2.092831612,1.043669343,-0.574018121,0.725075543,60,Run
1779842722,45:21.7,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.142817914,2.741005182,2.08184576,0.639934063,-0.549299657,0.595990121,60,Run
1779842723,45:22.8,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.137324914,2.735512257,2.087338686,0.590497136,-0.568525136,0.656413078,60,Run
1779842724,45:23.8,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.120845921,2.741005182,2.087338686,0.549299657,-0.587750614,0.659159601,60,Run
1779842725,45:24.8,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.137324914,2.708047152,2.101071119,0.543806672,-0.601483107,0.725075543,60,Run
1779842726,45:25.8,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.104366936,2.746498108,2.076352596,0.538313627,-0.574018121,0.689371049,60,Run
